year,state,type,value
2018,Texas,colony_lost,77500
2018,United States,colony_added,1721790
2018,United States,colony_lost,1517070
2018,Utah,colony_added,11640
2018,Utah,colony_lost,10120
2018,Vermont,colony_added,3830
2018,Vermont,colony_lost,1350
2018,Virginia,colony_added,4020
2018,Virginia,colony_lost,4300
2018,Washington,colony_added,38500
2018,Washington,colony_lost,34100
2018,West Virginia,colony_added,2650
2018,West Virginia,colony_lost,4210
2018,Wisconsin,colony_added,19300
2018,Wisconsin,colony_lost,29100
2018,Wyoming,colony_added,5190
2018,Wyoming,colony_lost,9020
2019,Alabama,colony_added,1200
2019,Alabama,colony_lost,2300
2019,Arizona,colony_added,6230
2019,Arizona,colony_lost,11500
2019,Arkansas,colony_added,620
2019,Arkansas,colony_lost,10200
2019,California,colony_added,330000
2019,California,colony_lost,464000
2019,Colorado,colony_added,3300
2019,Colorado,colony_lost,17500
2019,Connecticut,colony_added,250
2019,Connecticut,colony_lost,770
2019,Florida,colony_added,115000
2019,Florida,colony_lost,96000
2019,Georgia,colony_added,42000
2019,Georgia,colony_lost,47500
2019,Hawaii,colony_added,1160
2019,Hawaii,colony_lost,1890
2019,Idaho,colony_added,14900
2019,Idaho,colony_lost,38500
2019,Illinois,colony_added,1670
2019,Illinois,colony_lost,4940
2019,Indiana,colony_added,2800
2019,Indiana,colony_lost,3010
2019,Iowa,colony_added,3670
2019,Iowa,colony_lost,12500
2019,Kansas,colony_added,750
2019,Kansas,colony_lost,4050
2019,Kentucky,colony_added,950
2019,Kentucky,colony_lost,2150
2019,Louisiana,colony_added,13470
2019,Louisiana,colony_lost,9900
2019,Maine,colony_added,580
2019,Maine,colony_lost,2340
2019,Maryland,colony_added,1140
2019,Maryland,colony_lost,4190
2019,Massachusetts,colony_added,920
2019,Massachusetts,colony_lost,2980
2019,Michigan,colony_added,3820
2019,Michigan,colony_lost,17500
2019,Minnesota,colony_added,8480
2019,Minnesota,colony_lost,38700
2019,Mississippi,colony_added,4700
2019,Mississippi,colony_lost,8700
2019,Missouri,colony_added,600
2019,Missouri,colony_lost,3100
2019,Montana,colony_added,6070
2019,Montana,colony_lost,29000
2019,Nebraska,colony_added,1000
2019,Nebraska,colony_lost,6400
2019,New Jersey,colony_added,840
2019,New Jersey,colony_lost,1210
2019,New Mexico,colony_added,1030
2019,New Mexico,colony_lost,240
2019,New York,colony_added,3940
2019,New York,colony_lost,21900
2019,North Carolina,colony_added,2790
2019,North Carolina,colony_lost,7600
2019,North Dakota,colony_added,18000
2019,North Dakota,colony_lost,108000
2019,Ohio,colony_added,5300
2019,Ohio,colony_lost,7800
2019,Oklahoma,colony_added,610
2019,Oklahoma,colony_lost,3480
2019,Oregon,colony_added,14650
2019,Oregon,colony_lost,30500
2019,Other States,colony_added,670
2019,Other States,colony_lost,4010
2019,Pennsylvania,colony_added,3770
2019,Pennsylvania,colony_lost,7680
2019,South Carolina,colony_added,5400
2019,South Carolina,colony_lost,4790
2019,South Dakota,colony_added,1300
2019,South Dakota,colony_lost,51000
2019,Tennessee,colony_added,2460
2019,Tennessee,colony_lost,7300
2019,Texas,colony_added,75500
2019,Texas,colony_lost,45500
2019,United States,colony_added,733520
2019,United States,colony_lost,1241910
2019,Utah,colony_added,5370
2019,Utah,colony_lost,9000
2019,Vermont,colony_added,230
2019,Vermont,colony_lost,570
2019,Virginia,colony_added,440
2019,Virginia,colony_lost,2870
2019,Washington,colony_added,18310
2019,Washington,colony_lost,40500
2019,West Virginia,colony_added,250
2019,West Virginia,colony_lost,3900
2019,Wisconsin,colony_added,4780
2019,Wisconsin,colony_lost,18700
2019,Wyoming,colony_added,2600
2019,Wyoming,colony_lost,6300
2020,Alabama,colony_added,8250
2020,Alabama,colony_lost,9310
2020,Arizona,colony_added,22250
2020,Arizona,colony_lost,19800
2020,Arkansas,colony_added,7580
2020,Arkansas,colony_lost,6900
2020,California,colony_added,605000
2020,California,colony_lost,537000
2020,Colorado,colony_added,11580
2020,Colorado,colony_lost,14750
2020,Connecticut,colony_added,1410
2020,Connecticut,colony_lost,1160
2020,Florida,colony_added,163000
2020,Florida,colony_lost,127000
2020,Georgia,colony_added,84500
2020,Georgia,colony_lost,77500
2020,Hawaii,colony_added,5440
2020,Hawaii,colony_lost,4740
2020,Idaho,colony_added,62900
2020,Idaho,colony_lost,63000
2020,Illinois,colony_added,6200
2020,Illinois,colony_lost,6700
2020,Indiana,colony_added,6620
2020,Indiana,colony_lost,5050
2020,Iowa,colony_added,17500
2020,Iowa,colony_lost,11800
2020,Kansas,colony_added,4060
2020,Kansas,colony_lost,4500
2020,Kentucky,colony_added,6880
2020,Kentucky,colony_lost,4900
2020,Louisiana,colony_added,12430
2020,Louisiana,colony_lost,10900
2020,Maine,colony_added,1400
2020,Maine,colony_lost,2900
2020,Maryland,colony_added,5760
2020,Maryland,colony_lost,2350
2020,Massachusetts,colony_added,2690
2020,Massachusetts,colony_lost,1810
2020,Michigan,colony_added,52700
2020,Michigan,colony_lost,53100
2020,Minnesota,colony_added,25000
2020,Minnesota,colony_lost,27500
2020,Mississippi,colony_added,22500
2020,Mississippi,colony_lost,13400
2020,Missouri,colony_added,3240
2020,Missouri,colony_lost,3970
2020,Montana,colony_added,24000
2020,Montana,colony_lost,26300
2020,Nebraska,colony_added,10350
2020,Nebraska,colony_lost,13770
2020,New Jersey,colony_added,5210
2020,New Jersey,colony_lost,3620
2020,New Mexico,colony_added,3750
2020,New Mexico,colony_lost,1880
2020,New York,colony_added,14630
2020,New York,colony_lost,16300
2020,North Carolina,colony_added,10150
2020,North Carolina,colony_lost,10900
2020,North Dakota,colony_added,101000
2020,North Dakota,colony_lost,120000
2020,Ohio,colony_added,11080
2020,Ohio,colony_lost,10700
2020,Oklahoma,colony_added,11400
2020,Oklahoma,colony_lost,3600
2020,Oregon,colony_added,39500
2020,Oregon,colony_lost,34800
2020,Other States,colony_added,3740
2020,Other States,colony_lost,5240
2020,Pennsylvania,colony_added,10180
